Site,"Site Name","Traffic Sta",JAN,FEB,"CLASS NOTES",JAN,FEB,"WEIGHT NOTES"
80,"ARTESIA WB",7904,XX,XX,"GUnder constuction ",XX,XX,
81,POSITAS,5549,G,G,,G,G,
82,"GLENDORA EB",7905,G,G,,G,G,
83,"GLENDORA WB",7905,B,B,"CLASS > 53%  CLASS 15 > 10%  #2  LANE  ",B,B,"INVALIDS > 63% LANE # 1"
84,"LEUCADIA SB",11661,G,G,,G,G,
85,"LEUCADIA NB",11661,G,G,,G,G,
87,"BALBOA SB",11682,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
88,"BALBOA NB",11682,G,G,,G,G,
89,"DEKEMA SB",11683,G,G,,G,G,
90,"DEKEMA NB",11683,G,G,,G,G,
91,"POGGI SB",11684,G,G,,G,G,
92,"POGGI NB",11684,G,G,,G,G,
93,LAKEPORT,1772,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
94,GREENFIELD,5741,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
95,"ONTARIO EB",8877,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
96,"ONTARIO WB",8877,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
97,CHINO,8869,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
98,PRADO,8881,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
99,TULLOCH,10420,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
100,"MIRAMAR SB",11685,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
101,"MIRAMAR NB",11685,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
103,"ORANGE SB",12658,G,G,"CHANGED LIMIT TO 10 % CLASS 0 #4 LANE 03/09",G,G,
104,"ORANGE NB",12658,G,G,,G,G,
105,ELKHORN,3543,G,G,,G,G,
106,ELVERTA,3544,G,G,,G,G,
107,CHICO,3201,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
108,WILLOWS,3202,G,G,,G,G,
110,"HONEY LAKE",2150,B,B,"CLASS 15 > 8 % # 1 LANE ",G,G,
111,"SAIGON SB",12659,G,G,,G,G,
112,"SAIGON NB",12659,G,G,,G,G,
113,"CARBONA 2",10421,G,G,,G,G,
114,ARVIN,6972,G,G,"GOOD E/B ONLY ",G,G,
115,PORTERVILLE,6973,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
116,"LONG BEACH PORT",7911,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
804,"SANTA NELLA SB",10285,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
812,"COTTONWOOD NB",2313,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
814,"SANTA NELLA NB",10285,G,G,,G,G,
828,"BLACKROCK WB",8610,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
834,"DONNER PASS",3762,G,G,,G,G,
844,"CALEXICO NB",11686,XX,XX,,XX,XX,
846,"COTTONWOOD SB",2314,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
848,"OTAY MESA WB",11687,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
854,"RAINBOW SB",8609,G,G,,G,G,
856,"MISSION GRADE NB",4914,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,
,,,,,,,,
,"NO DATA ",,XX,,,,,
,"PARTIAL BAD",,"P/B ",,"SITE HAS ENOUGH GOOD DATA TO SUBMIT FOR REPORTING ",,,
,"GOOD DATA",,G,,"DATA IS GOOD",,,
,"NEEDS CALIBRATION ",,"N/C ",,"Weights no good - Do not use for the Truck Weight Study or SHRP until re-calibrated.",,,
,"MARGINAL  DATA ",,M,,"Data is slighty above defined error limits POSSIBLE CALIBRATION",,,
,"BAD DATA ",,B,,,,,
,,,,,,,,
,"GOOD DATA ONE DIRECTION ONLY ",,G,,,,,
